hit_chance,period,clock_scale,p99,p99_lower,p99_upper
0.68754,0.015,1.4499999999999997,0.6830245390187099,0.5732775414796888,0.6830245390187099
0.69555,0.015,1.4749999999999996,0.5679497131951733,0.5679497131951733,0.6698468580158808
0.70339,0.015,1.4999999999999998,0.5679497131951733,0.5679497131951733,0.5732775414796888
0.71086,0.015,1.5249999999999997,0.5679497131951733,0.5679497131951733,0.5679497131951733
0.71755,0.015,1.5499999999999996,0.5679497131951733,0.5679497131951733,0.5679497131951733
0.72384,0.015,1.5749999999999997,0.5679497131951733,0.5679497131951733,0.5679497131951733
0.73035,0.015,1.5999999999999996,0.5679497131951733,0.5625887415351193,0.5679497131951733
0.73602,0.015,1.6249999999999996,0.5679497131951733,0.5625887415351193,0.5679497131951733
0.74227,0.015,1.6499999999999997,0.5679497131951733,0.5625887415351193,0.5679497131951733
0.74824,0.015,1.6749999999999996,0.5625887415351193,0.5625887415351193,0.5679497131951733
0.75333,0.015,1.6999999999999997,0.5679497131951733,0.5625887415351193,0.5679497131951733
0.75881,0.015,1.7249999999999996,0.5514021458464712,0.5514021458464712,0.5625887415351193
0.76383,0.015,1.7499999999999996,0.5514021458464712,0.5390219140937027,0.5625887415351193
0.76862,0.015,1.7749999999999997,0.5514021458464712,0.5324188358346919,0.5625887415351193
0.77326,0.015,1.7999999999999996,0.5514021458464712,0.5324188358346919,0.5514021458464712
0.77771,0.015,1.8249999999999997,0.5514021458464712,0.5324188358346919,0.5514021458464712
0.78244,0.015,1.8499999999999996,0.5324188358346919,0.4213794633945175,0.5514021458464712
0.78688,0.015,1.8749999999999996,0.5158866539163219,0.4213794633945175,0.5324188358346919
0.79087,0.015,1.8999999999999997,0.4213794633945175,0.4213794633945175,0.5158866539163219
0.79471,0.015,1.9249999999999996,0.4213794633945175,0.4213794633945175,0.5324188358346919
0.79883,0.015,1.9499999999999995,0.4213794633945175,0.4213794633945175,0.4213794633945175
0.13295,0.02,0.5499999999999999,141332.9974685469,130389.97858692633,152640.55601550706
0.803,0.015,1.9749999999999996,0.4213794633945175,0.4213794633945175,0.4213794633945175
0.18825,0.02,0.575,14282.665199391537,12716.306167476652,16433.233718304815
0.23774,0.02,0.5999999999999999,907.0123962186182,809.9132515981822,1035.1618380692576
0.28327,0.02,0.6249999999999999,80.55703045535353,71.37024285976017,93.58130274541475
0.32359,0.02,0.6499999999999999,19.251704897005407,17.501724457476666,21.179299602087244
0.36141,0.02,0.6749999999999998,9.179412610437305,8.522946470138708,9.877993165897305
0.39556,0.02,0.6999999999999998,5.588680698717473,5.234455368818003,6.056443571943991
0.4268,0.02,0.7249999999999999,3.7180652026291536,3.5574204901343025,3.892215125732116
0.45462,0.02,0.7499999999999999,2.938241366410755,2.859670702743773,3.02450502402688
0.48027,0.02,0.7749999999999999,2.3896879281125933,2.2822394347882393,2.5270783498007474
0.50462,0.02,0.7999999999999998,2.0531168725575775,1.9064554505643652,2.1437024576223807
0.52714,0.02,0.8249999999999998,1.717891332600039,1.607537359324967,1.7264707006378774
0.54746,0.02,0.8499999999999999,1.5759309428998591,1.5445347178500661,1.605281536666237
0.56739,0.02,0.8749999999999998,1.5252014127444549,1.5032490728319416,1.5445347178500661
0.58519,0.02,0.8999999999999998,1.3561738783472492,1.3304093799666328,1.3561738783472492
0.60179,0.02,0.9249999999999998,1.1616284553539473,1.1616284553539473,1.3304093799666328
0.61765,0.02,0.9499999999999998,1.1616284553539473,1.1369909667571791,1.1616284553539473
0.63206,0.02,0.9749999999999999,1.0794338345897128,1.032519893598114,1.1369909667571791
0.64555,0.02,0.9999999999999998,1.0042797068223623,0.9759627429721284,1.032519893598114
0.65841,0.02,1.025,0.9617080622051136,0.9617080622051136,0.9617080622051136
0.67057,0.02,1.0499999999999998,0.9617080622051136,0.9617080622051136,0.9617080622051136
0.68186,0.02,1.0749999999999997,0.9617080622051136,0.9617080622051136,0.9617080622051136
0.69324,0.02,1.0999999999999999,0.9381975833921935,0.9381975833921935,0.9617080622051136
0.70339,0.02,1.1249999999999998,0.9381975833921935,0.7666198883389296,0.9617080622051136
