clock_scale,hit_chance,period,p99,p99_lower,p99_upper
0.8500000000000003,0.83971,0.04,0.32786634504317225,0.327821954479924,0.3279241316372468
0.9000000000000002,0.36141,0.015,0.32603065597902564,0.3259143569222976,0.3261693261970158
0.9000000000000002,0.58519,0.02,0.3279417132050469,0.3278778249833337,0.3280127308545075
0.9000000000000002,0.77326,0.03,0.3239167003623629,0.3238600124784051,0.3239624039512511
0.9000000000000002,0.85269,0.04,0.32775052454996373,0.32771850930953833,0.3277832320664735
0.9500000000000003,0.4112,0.015,0.3249248258909875,0.3248442370109532,0.32503403745891324
0.9500000000000003,0.61765,0.02,0.32750294674655467,0.3274399815717613,0.32759446331169106
0.9500000000000003,0.79087,0.03,0.3235437948726513,0.3234399240562872,0.3237516520382045
0.9500000000000003,0.86436,0.04,0.32764528619691896,0.3276209347222294,0.3276800490794656
1.0000000000000002,0.45462,0.015,0.3243303783439941,0.32426844892108475,0.32442182050292373
1.0000000000000002,0.64555,0.02,0.32730631044995995,0.3272585649161657,0.32736659171351
1.0000000000000002,0.80649,0.03,0.323286473829649,0.3232375619280853,0.323361806383637
1.0000000000000002,0.87412,0.04,0.32756143264956017,0.32752136788584696,0.327589645408524
1.0500000000000003,0.49291,0.015,0.3238402860727185,0.32377050415673664,0.3239453415812213
1.0500000000000003,0.67057,0.02,0.3271413457955715,0.32703947439984243,0.32718727533159186
1.0500000000000003,0.82019,0.03,0.32320460515567506,0.3231674489218786,0.3232644871699711
1.0500000000000003,0.88286,0.04,0.3275228907377957,0.32748243488497275,0.3275624175534962
1.1000000000000003,0.13295,0.01,0.36345219634753034,0.3605888006906539,0.36662269443877815
1.1000000000000003,0.52714,0.015,0.3235440225131783,0.3234352532135281,0.32362504035997364
1.1000000000000003,0.69324,0.02,0.32679106357868515,0.32673138512384325,0.326906469168379
1.1000000000000003,0.83273,0.03,0.3231048458745241,0.3230803082194315,0.3231546624812439
1.1000000000000003,0.89052,0.04,0.32744788771157624,0.32737840595258766,0.32748368613420287
1.1500000000000004,0.18825,0.01,0.33580728255045356,0.3355047582185462,0.3361392267075886
1.1500000000000004,0.55793,0.015,0.32325536840358104,0.3231903354460911,0.32333126069141815
